lr-Adam,step,train_loss_step,epoch,val_loss,val_acc
0.001,0,,,,
,49,0.13997086882591248,0,,
,99,0.08664475381374359,0,,
,149,0.7420637607574463,0,,
,199,0.06510935723781586,0,,
,249,0.1977955549955368,0,,
,299,0.41181984543800354,0,,
,349,0.17945356667041779,0,,
,399,0.12522339820861816,0,,
,449,0.4749384820461273,0,,
,499,0.6675022840499878,0,,
,549,0.47092875838279724,0,,
,599,0.08318886905908585,0,,
,649,0.15707342326641083,0,,
,699,0.4210718274116516,0,,
,749,0.2160903960466385,0,,
,799,0.10686228424310684,0,,
,849,0.07235690951347351,0,,
,899,0.8361808657646179,0,,
,949,0.9602667689323425,0,,
,999,0.07379405200481415,0,,
,1049,0.14342139661312103,0,,
,1099,0.5247412323951721,0,,
,1149,0.30878788232803345,0,,
,1199,0.11625087261199951,0,,
,1249,0.10155179351568222,0,,
,1299,0.09527169167995453,0,,
,1349,0.060841284692287445,0,,
,1399,0.35995474457740784,0,,
,1449,0.11913293600082397,0,,
,1499,0.06562527269124985,0,,
,1549,0.3275279402732849,0,,
,1599,0.1189807653427124,0,,
,1649,0.5643478035926819,0,,
,1699,0.10584376007318497,0,,
,1749,0.6797188520431519,0,,
,1799,0.1127208024263382,0,,
,1849,0.3632698059082031,0,,
,1899,0.06821747869253159,0,,
,1949,1.0095932483673096,0,,
,1999,0.7967252731323242,0,,
,2049,0.07810171693563461,0,,
,2099,0.0905747041106224,0,,
,2149,0.09584678709506989,0,,
,2199,0.14612555503845215,0,,
,2249,0.06572064012289047,0,,
,2299,0.10447381436824799,0,,
,2349,0.9224071502685547,0,,
,2399,0.0888509601354599,0,,
,2449,0.0801732987165451,0,,
,2499,0.6160934567451477,0,,
,2549,0.6919196844100952,0,,
,2599,0.11831872165203094,0,,
,2649,0.33223676681518555,0,,
,2699,0.46571335196495056,0,,
,2749,0.08295263350009918,0,,
,2799,0.1412806510925293,0,,
,2849,0.0805257111787796,0,,
,2899,0.0930178314447403,0,,
,2949,0.5625995397567749,0,,
,2999,0.5291391015052795,0,,
,3049,0.15747269988059998,0,,
,3099,0.10999548435211182,0,,
,3149,0.4337371289730072,0,,
,3199,0.11345019191503525,0,,
,3249,0.13607630133628845,0,,
,3299,0.07783209532499313,0,,
,3349,0.09115090221166611,0,,
,3399,0.1266915202140808,0,,
,3449,0.08456037938594818,0,,
,3499,0.0955699235200882,0,,
,3549,0.3894383907318115,0,,
,3599,0.8915306329727173,0,,
,3649,0.10782196372747421,0,,
,3699,0.6230008006095886,0,,
,3749,0.4266703128814697,0,,
,3799,0.8560983538627625,0,,
,3849,0.1294151246547699,0,,
,3899,1.0169916152954102,0,,
,3949,0.48627251386642456,0,,
,3999,0.33580321073532104,0,,
,4049,0.4072810709476471,0,,
,4099,0.043655410408973694,0,,
,4149,0.49878042936325073,0,,
,4199,0.526289701461792,0,,
,4249,0.06161379814147949,0,,
,4299,0.0931721106171608,0,,
,4349,0.10687384754419327,0,,
,4399,0.08029104024171829,0,,
,4449,0.10471487045288086,0,,
,4499,0.040829919278621674,0,,
,4549,0.32627543807029724,0,,
,4599,0.03409112989902496,0,,
,4649,0.2329692393541336,0,,
,4699,0.39613214135169983,0,,
,4749,0.12805818021297455,0,,
,4799,0.6266308426856995,0,,
,4849,0.8048230409622192,0,,
,4899,0.12904568016529083,0,,
,4949,0.42581072449684143,0,,
,4999,0.05852881073951721,0,,
,5049,0.2850622236728668,0,,
,5099,0.06987502425909042,0,,
,5149,0.3736986815929413,0,,
,5199,0.5665344595909119,0,,
,5249,0.05948002263903618,0,,
,5299,0.13141563534736633,0,,
,5349,0.1581796258687973,0,,
,5399,1.7812265157699585,0,,
,5449,0.10813643783330917,0,,
,5499,1.0394048690795898,0,,
,5549,0.37526804208755493,0,,
,5599,0.06508763134479523,0,,
,5649,0.6251097917556763,0,,
,5699,0.15875343978405,0,,
,5749,0.09574592113494873,0,,
,5799,0.07722200453281403,0,,
,5849,0.3460991680622101,0,,
,5899,0.08993908762931824,0,,
,5949,0.5640856027603149,0,,
,5999,0.6205556392669678,0,,
,6049,0.08679502457380295,0,,
,6099,0.3887473940849304,0,,
,6149,0.09598056972026825,0,,
,6199,0.0974002555012703,0,,
,6249,0.08445712924003601,0,,
,6299,0.0741819366812706,0,,
,6349,0.14907723665237427,0,,
,6399,0.07623843848705292,0,,
,6449,0.1180984154343605,0,,
,6499,0.5053786039352417,0,,
,6549,0.47759073972702026,0,,
,6599,0.24042627215385437,0,,
,6649,0.5770623683929443,0,,
,6699,0.3347484767436981,0,,
,6749,0.09682328999042511,0,,
,6799,0.5659754872322083,0,,
,6849,0.05248909071087837,0,,
,6899,0.04614276438951492,0,,
,6949,0.33016878366470337,0,,
,6999,0.5380109548568726,0,,
,7049,0.10648765414953232,0,,
,7099,0.12434198707342148,0,,
,7149,0.10552165657281876,0,,
,7199,0.06897880136966705,0,,
,7249,0.12628665566444397,0,,
,7299,0.406230628490448,0,,
,7349,0.08391571789979935,0,,
,7399,0.5225448608398438,0,,
,7449,0.48665809631347656,0,,
,7499,1.2534863948822021,0,,
,7549,0.45021504163742065,0,,
,7599,0.8241610527038574,0,,
,7649,0.6398614048957825,0,,
,7699,0.13218049705028534,0,,
,7749,0.10258644819259644,0,,
,7799,0.10132192075252533,0,,
,7849,0.256976455450058,0,,
,7899,0.8228170275688171,0,,
,7937,,0,0.4024618864059448,0.8334189057350159
0.001,7938,,,,
,7949,0.9765586853027344,1,,
,7999,0.07026872783899307,1,,
,8049,0.16311898827552795,1,,
,8099,0.31778499484062195,1,,
,8149,0.17709319293498993,1,,
,8199,0.06917010247707367,1,,
,8249,0.5601328611373901,1,,
,8299,0.4805268347263336,1,,
,8349,0.09374754130840302,1,,
,8399,0.1549030840396881,1,,
,8449,0.8338594436645508,1,,
,8499,0.5439928770065308,1,,
,8549,0.053857170045375824,1,,
,8599,0.14108875393867493,1,,
,8649,0.09478950500488281,1,,
,8699,0.16853688657283783,1,,
,8749,0.11670808494091034,1,,
,8799,0.06285447627305984,1,,
,8849,0.11322005838155746,1,,
,8899,0.09004531055688858,1,,
,8949,0.0739077627658844,1,,
,8999,0.06906469166278839,1,,
,9049,0.5887527465820312,1,,
,9099,0.30980002880096436,1,,
,9149,0.5590537786483765,1,,
,9199,0.2854333817958832,1,,
,9249,0.5592213869094849,1,,
,9299,0.12614160776138306,1,,
,9349,0.09299762547016144,1,,
,9399,1.1332001686096191,1,,
,9449,0.836848258972168,1,,
,9499,0.2242198884487152,1,,
,9549,0.11031564325094223,1,,
,9599,0.6106951832771301,1,,
,9649,0.031639013439416885,1,,
